Purchase_Order_Description,Manufacturer,Part_Number,Vendor_Description
6 inch by 1 inch same as above,OATEY SCS,CHERNE271063,6IN LONG TEST-BALL PLUG
6 inch jim caps,IPS CORPORATION,6CAPALLPASCO4841LSP,6 RUBBER TEST CAP
4 inch cheme winged test plugs,OATEY SCS,CHERNE270245,4IN GRIPPER PLUG BX=10
6 inch ditto,OATEY SCS,CHERNE270261,6IN GRIPPER PLUG BX=5
4 inch fenco CINH by Plastic,FERNCO INC,FERN105644MISMR5644,4 FLEXIBLE CPLG
"6"" NHCI 1/8 Bend",AB&I FOUNDRY,AB&I00614,6 NO HUB 45
"6"" Husky HD2000",ANACO,ANACO2014(15/BOX),6 HD2000 OT HD NH CPLG
"6"" NHCI Wye",AB&I FOUNDRY,AB&I01342,6 NO HUB WYE
"6"" NHCI Blind Plug",AB&I FOUNDRY,AB&I02490,6 NO HUB BLIND PLUG
"3"" Double Mechanical Test Plug",PETERSEN PRODUCTS CO,PETERSENPRODUCTS149203,SP*00038015
"6"" Double Mechanical Test Plug",PETERSEN PRODUCTS CO,"PETERSONPRODUCTS1492066""",SP*023240
"8"" Double Mechanical Test Plug",PETERSEN PRODUCTS CO,"PETERSENPRODUCTS1492088""",SP*023151
"2"" Gripper Test Plug",OATEY SCS,CHERNE270229,2IN GRIPPER PLUG BX=10
"3"" Gripper Test Plug",OATEY SCS,CHERNE270237,3IN GRIPPER PLUG BX=10
"2"" Fernco DWV Test Cap",PASCO SPECIALTY,2CAPALLPASCO4418FRENCO,2 RUBBER TEST CAP
"3"" Fernco DWV Test Cap",IPS CORPORATION,3CAPALLPASCO4419LSP,3 RUBBER TEST CAP
"4"" Fernco DWV Test Cap",IPS CORPORATION,4CAPALLPASCO4422FERNCO,4 RUBBER TEST CAP
"6"" Fernco DWV Test Cap",IPS CORPORATION,6CAPALLPASCO4841LSP,6 RUBBER TEST CAP
"10"" Fernco DWV Test Cap",FERNCO INC,FERNCOQC110,SP*015838
"4"" NHCI San Tee",AB&I FOUNDRY,AB&I00822,4 NO HUB SAN TEE
"6"" NHCI San Tee",AB&I FOUNDRY,AB&I00836,6 NO HUB SAN TEE
"4"" NHCI Wye",AB&I FOUNDRY,AB&I01324,4 NO HUB WYE
"2"" NHCI Blind Plug",AB&I FOUNDRY,AB&I02482,2 NO HUB BLIND PLUG
"3"" NHCI Blind Plug",AB&I FOUNDRY,AB&I02484,3 NO HUB BLIND PLUG
"4"" NHCI Blind Plug",AB&I FOUNDRY,AB&I02486,4 NO HUB BLIND PLUG
"10"" NHCI Blind Plug",AB&I FOUNDRY,AB&I02494,10 NO HUB BLIND PLUG
"12"" NHCI Blind Plug",AB&I FOUNDRY,AB&I02496,12 NO HUB BLIND PLUG
"1/2"" MPT Boiler Drain",LEGEND VALVE,SCI4347003140LEG107327NL,1/2 MIP BOILER DRAIN
"3/4""x36"" Steel Form Stake",GRIPRITE,GRIPRITESTKR36,"STEEL 3/4"" X 36"" ROUND NAIL STAKES FOR CONCRETE & FORMWORK [10/BUNDLE]"
Qt. Black Swan No Hub Sealant,BLACK SWAN,BLACKSWAN04085,32OZ NO-HUB SEALANT
4 inch 850 Sioux chief clean out,SIOUX CHIEF MFG INC,SIOUX8504IN,SET SCREW W/8 1/4IN NB TOP
9 inch by 9 inch Fig 4910 Jr smith,JR SMITH,JRS49109X9PLAINALUMINUM,SP*00038027
4 inch Cast iron No Hub combo,AB&I FOUNDRY,AB&I01708,4 NO HUB COMBO
4 inch by 3 inch Cast iron No Hub combo,AB&I FOUNDRY,AB&I01706,4X3 NO HUB COMBO
4 inch 1/4 bend Cast iron No Hub bend,AB&I FOUNDRY,NHREG1/4BENDAB&I00194,4 NO HUB 90
"100psig Test Block w/ 3/4"" FIP Connection & Schraeder Valve",IPS CORPORATION,IPS513976PASCO1421,100# AIR TEST GAUGE ASSEMBLY
"3/4"" CU Sweat Male Adapter",ELKHART PRODUCTS CORP,25/BOXEPC10030330MUEL,3/4 CXM ADAPT
"3/4"" Milwaukee UPBA450",MILWAUKEE VALVE COMPANY,MILWVLVUPBA1503/4,3/4IN SWEAT DOMESTIC LF BRZ
"1 1/2"" CU Sweat Female Adapter",ELKHART PRODUCTS CORP,EPC10030180MUELW01279,1 1/2 CXF ADAPT
"1 1/2""x1/2"" CU Sweat Reducing Coupling",ELKHART PRODUCTS CORP,EPC10030776MUELW01069,1 1/2 X 1/2 CXC CPLG
"3""x1 1/2"" CU Sweat Reducing Coupling",ELKHART PRODUCTS CORP,EPC10030820MUELW01095,3X1-1/2 CXC CPLG
"1 1/2""X1"" CU Sweat Fitting Reducer",ELKHART PRODUCTS CORP,EPC10032092MUELW01351,1 1/2 X 1 CXFTG REDUCER
"3"" CU Sweat Brass 125# Companion Flange",ELKHART PRODUCTS CORP,4BOLT150#EPC10056652,3 CXC COMPANION FLANGE
"3"" 150# Bolt Kit - Plated",VIKING BOLT INC,4EA5/811X3INNUT&BOLT,2-3IN FLANGE BOLT KIT
"3""x1/8"" 150# Full Face Red Rubber Gasket",GASKET TECHNOLOGY INC,3INREDRUBBERFLANGEGASKET,3IN RED RUBBER FLANGE GASKET
"3"" CS 150# RF Blind Flange",PUGET SOUND PIPE & SUPPLY PSP,"3""150#RFBLINDFLANGE",SP*00038141
"1 1/2"" Sch. 80 PVC Pipe",CRESLINENORTHWESTLLC,PLAINEND,1 1/2X20 S80 PVC PIPE
"1 1/2"" Sch. 80 Male Adapter",LASCO FITTINGS INC,LASCO/SPEARS836015,1 1/2 S80 PVC SXM ADAPT
"1 1/2"" Sch. 80 PVC Cap",LASCO FITTINGS INC,LASCO/SPEARS847015,1 1/2 S80 PVC GLUE CAP
"1 1/2"" Sch. 80 PVC Coupling",LASCO FITTINGS INC,LASCO/SPEARS829015,1 1/2 S80 PVC CPLG
"1 1/2"" Sch. 80 PVC Female Adapter",LASCO FITTINGS INC,LASCO/SPEARS835015,1 1/2 S80 PVC SXF ADAPT
"3"" D.I. MJ x Flange Adapter",TYLER UNION,*00496094008,3  DI MJ X FLANGE ADAPTER
"3"" Megalug w/ Accessory Kit",EBAA,463103ACC,1103DSC 3 MEGALUG W/ACCESS KIT
"3"" CU Sweat Cap",NIBCO,41501222,617   3         COPPER END CAP
"3"" CU Sweat Coupling w/ Stop",NIBCO,41501696,600  3             CPLG W/STOP
"4""x3 1/2"" NHCI Tapped Ferrule",AB&I FOUNDRY,W/31/2INPLUGTAPAB&I08566,4 NO HUB IRON BODY CLEANOUT
"3 1/2"" Brass Sq. Head Clean Out Plug",PASCO SPECIALTY,PASCO1850,3-1/2 BRASS LIGOT DUTY RAISED
"3/8"" Hex Nut - Plated",NUT,NUT3/8ZINCPKG,"FINISH HEX NUT 3/8""-16 ZINC PLATED [FNC0060] [100/PK] [1800/CS]"
"3/8"" Cut Washer - Plated",CWA,CWA3/8USSZINCPKG,"CUT FLAT WASHER 3/8"" USS ZINC PLATED [WFB1006] [100/PK] [2400/CS]"
"3/8"" Square Washer - Gold",UNISTRUT,UNISTRUTP1063ZD,"GOLD 3/8"" SQUARE WASHER FOR STRUT CHANNEL YELLOW ZINC [100/BX]"
"3/8"" Strut Nut - Plated",UNISTRUT,UNISTRUTP3008EG,SILVER EG 3/8-16 SPRINGLESS STRUT CHANNEL NUT ZINC PLATED [100/BX]
"1/4""x1 1/4"" Fender Washer - Plated",FWA,FWA1/4X11/4ZINCPKG,"FENDER WASHER 1/4"" X 1-1/4"" OD ZINC PLATED [WFA4125] [100/PK]"
"1/4""x1 1/4"" Zamac Nail-In Anchor",POWERS,POWERS02842,"MH ZAMAC HAMMER SCREW 1/4"" X 1-1/4"" ZINC PLATED MUSHROOM HEAD ANCHOR"
Pasco 3088 Fitting Tote or Comparable,PASCO,PASCO3088,BOX CADDY 8 COMPARTMENT PIPE FITTING TRAY STEEL WITH HANDLE
"1/2"" Hex Nut - Plated",NUT,NUT1/2ZINCPKG,"FINISH HEX NUT 1/2""-13 ZINC PLATED [FNC0080 100/PK] [50/BX] [600/CS]"
"1/2"" Cut Washer - Plated",CWA,CWA1/2USSZINCPKG,"CUT FLAT WASHER 1/2"" USS ZINC PLATED [WFB1008] [100/PK] [600/CS]"
"1/2"" Strut Nut - Plated",UNISTRUT,UNISTRUTP3013EG,"SILVER EG 1/2"" SPRINGLESS STRUT CHANNEL NUT ZINC PLATED [100/BX]"
"1/2"" Square Washer - Gold",UNISTRUT,UNISTRUTP1064ZD,"GOLD 1/2"" SQUARE WASHER FOR STRUT CHANNEL YELLOW ZINC [100/BX]"
"1/2""x1 1/2"" Cap Screw - Plated",HHC,HHC1/2X11/2PKG,"HEX HEAD BOLT 1/2""-13 X 1-1/2"" C/S CAP SCREW ZINC PLATED [HZ28150]"
"260 3"" GALV ADJ CLEVIS HNGR ELECTRO GALV",ASC,05000260ZH,"260 3"" GALV ADJ CLEVIS HNGR"
"260 4"" GALV ADJ CLEVIS HNGR ELECTRO GALV",ASC,05000260ZI,"260 4""  GALV ADJ CLEVIS HNGR"
"260 5"" GALV ADJ CLEVIS HNGR ELECTRO GALV",ASC,05000260ZK,"260 5""  GALV ADJ CLEVIS HNGR"
"260 6"" GALV ADJ CLEVIS HNGR ELECTRO GALV",ASC,05000260ZL,"260 6""  GALV ADJ CLEVIS HNGR"
261 3 GALV RISER CLAMP,ASC,05000261ZH,261  3    GALV RISER CLAMP
SUP 701-2-7/8 gold,SUP,SUP70127/8,"GOLD 2-7/8"" OD PIPE CLAMP STRUT TUBING STRAP [25/BX]"
SUP 702-3 gold,SUP,SUP7023,"GOLD 3"" RIGID PIPE CLAMP STRUT TUBING STRAP   [50/BX]"
SUP 701-3-3/4 gold,SUP,SUP70133/4,"GOLD 3-3/4"" OD PIPE CLAMP STRUT TUBING STRAP [25/BX]"
SUP 701-4-1/4 gold,SUP,SUP70141/4,"GOLD 4-1/4"" OD PIPE CLAMP STRUT TUBING STRAP [25/BX]"
SUP 701-6-1/4 gold,SUP,SUP70161/4,"GOLD 6-1/4"" OD PIPE CLAMP STRUT TUBING STRAP [10/BX]"
ROD 1210 eg,ROD,ROD1210,1/2-13 X 10 FT EG THREADED ROD [PRICED PER HUNDRED FEET]
ROD 3810 eg,ROD,ROD3810,3/8-16 X 10 FT EG THREADED ROD [PRICED PER HUNDRED FEET]
SUP A12 0 OHS -10-gold,SUP,SUPA1200HS10GOLD,"HALF SLOT 1-5/8"" X 1-5/8"" SINGLE STRUT 12GA 10' YELLOW ZINC CHANNEL"
UNISTRUT P2484-ZD,UNISTRUT,UNISTRUTP2484ZD,GOLD STRUT GUSSETED FITTING 7-HOLE 90 DEGREE
UNISTRUT P1546-ZD,UNISTRUT,UNISTRUTP1546ZD,GOLD 2-HOLE 45 DEGREE OUTSIDE ANGLE FITTING BRACKET YELLOW ZINC
ISC 17 23 9 -Y sub for SUP 702 5-1/4 gold (not available),ISC,ISCI7239Y,"GOLD 5-1/4"" OD PIPE CLAMP STRUT TUBING STRAP YELLOW ZINC PLATED"
3 inc CSWT FIP,MUELLER STREAMLINE CO,MUELLERW01297,3IN CXF WROT FEM ADAPT
3 inch threaded galivaized plug,ASC ENGINEERED SOLUTIONS,SCI4316012420MATCOMGPL10,3 GALV PLUG
3 inch CSWT coupling,ELKHART PRODUCTS CORP,EPC10030920MUELW10152,3 CXC CPLG
6 inch NH cap,AB&I FOUNDRY,AB&I02490,6 NO HUB BLIND PLUG
"4"" HUSKY HD2000 BANDS",ANACO,ANACO2010(48/BOX),4 HD2000 OT HD NH CPLG
"6"" FERNCO XL 1056-662",FERNCO INC,FERN1056662,SP*00038255
sup702 6-5/8 gold,SUP,SUP7026,"GOLD 6"" RIGID PIPE CLAMP STRUT TUBING STRAP   [10/BX]"
sup702 5-5/8 gold,SUPER STRUT,70155/8,"GOLD 5-5/8"" OD PIPE CLAMP STRUT"
3/8 x 1-1/4 cap screws,HHC,HHC3/8X11/4TAPZINCPKG,"HEX HEAD TAP BOLT 3/8-16 X 1-1/4"" FULLY THREADED C/S CAP SCREW ZINC"
2 swt 90,ELKHART PRODUCTS CORP,EPC10031322MUELW02086,2 CXC 90
2 swt cap,ELKHART PRODUCTS CORP,EPC10030638MUELW07014,2 CXC TUBE CAP
3 swt cap,ELKHART PRODUCTS CORP,EPC10030642MUELW07016,3 CXC TUBE CAP
3 inch cast iron,AB&I FOUNDRY,***480FT/LIFT***AB&I00160,3X10 NO HUB PIPE
3 inch 1/8th bend,AB&I FOUNDRY,AB&I00608,3 NO HUB 45
3 inch holdrite test wedge,HOLDRITE,HOLDTRW3V,"3"" TEST WEDGE WITH VALVE"
holdrite test rite wrench,HOLDRITE,HOLDTRT23,TESTRITE SPANNER WRENCH FOR
3 inch short ear riser clamps,ASC,05000212GH,212 3    GAL STEEL MEDIUM
"3""x2"" Galvanized 150# Bushing",ASC ENGINEERED SOLUTIONS,SCI0819908286MATCOMGBU1008,3X2 GALV BUSHING
"2""x1/2"" Galvanized 150# Bushing",ASC ENGINEERED SOLUTIONS,SCI0819907858MATCOMGBU0803,2 X 1/2 GALV BUSHING
"3""x1/8"" 150# Full Face EPDM Gasket",GASKETS,1702EPDMFFJ,3     EPDM 1/8 150# FF GASKET
"3"" 150# Bolt Kit - Plated",FASTENERS,463581007,3     150 PLATED BOLT KIT
"3"" 150# Dbl. Sided Lug BFV Bolt Kit - Plated",FASTENERS,056BLBV30,"LBV-30      3"" BFV BOLT KIT"
"3"" 150# CU Sweat Companion Flange",NIBCO,0415B49560L,771-LF 3 COP 150 COMP FLG
"2""x6"" Brass Nipple",ASC ENGINEERED SOLUTIONS,SCI4385013280,2 X 6 BRASS NIPPLE
"3/4"" CU Sweat x MNPT Union",ELKHART PRODUCTS CORP,EPC10056716MUELA11211NL,3/4 CXM UNION
"3/4"" CU Sweat 90",ELKHART PRODUCTS CORP,50/BOXEPC10031288MUEL,3/4 CXC 90
"3/4"" CU Sweat Coupling / Less Stop",ELKHART PRODUCTS CORP,EPC10030956MUELW01905,3/4 CXC REPAIR CPLG
"3/4"" Milwaukee UPBA450",MILWAUKEE VALVE COMPANY,MILWVLVUPBA1503/4,3/4IN SWEAT DOMESTIC LF BRZ
"3"" CU Sweat 45",ELKHART PRODUCTS CORP,EPC10031156MUELW03067,3 CXC 45
"3"" CU Sweat 90",ELKHART PRODUCTS CORP,EPC10031338MUELW02088,3 CXC 90
"3"" CU Sweat Street 45",ELKHART PRODUCTS CORP,EPC10031228MUELW03368,3 FTGXC 45
"3"" CU Sweat Male Adapter",ELKHART PRODUCTS CORP,EPC10030400MUELW01199,3 CXM ADAPT
"2"" CU Sweat Male Adapter",ELKHART PRODUCTS CORP,EPC10030378MUELW01187,2 CXM ADAPT
"2"" CU Sweat 90",ELKHART PRODUCTS CORP,EPC10031322MUELW02086,2 CXC 90
"2"" CU Sweat Coupling w/ Stop",ELKHART PRODUCTS CORP,EPC10030916MUELW10150,2 CXC CPLG
"1 1/2"" CU Sweat Coupling w/ Stop",ELKHART PRODUCTS CORP,EPC10030914MUELW10149,1 1/2 CXC CPLG
"1/2"" Brass 125# 90",ASC ENGINEERED SOLUTIONS,SCI4385001870LEG310003NL,1/2 BRASS 90
"1/2""x6"" Brass Nipple",ASC ENGINEERED SOLUTIONS,SCI4385011300,1/2 X 6 BRASS NIPPLE
"1/2"" CU Sweat Street Female Adapter",ELKHART PRODUCTS CORP,EPC10030236MUELW01531,1/2 FTGXC FEMALE ADAPT
"2""x1/2"" CU Sweat Tee",ELKHART PRODUCTS CORP,EPC10032982MUELW40107,2X2X1/2 CXCXC TEE
Trerice 872-2 Pressure Snubber,GREAVES COMPANY INC (TRERICE),TRERICE8722PBF,1/4IN LF SNUBBER
"1/4""x2"" Brass Nipple",ASC ENGINEERED SOLUTIONS,SCI4385010430,1/4 X 2 BRASS NIPPLE
"1/4""x3"" Brass Nipple",ASC ENGINEERED SOLUTIONS,SCI4385010450,1/4 X 3 BRASS NIPPLE
"1/4"" Brass 125# 90",ASC ENGINEERED SOLUTIONS,SCI4385001830,1/4 BRASS 90
"1/4"" Milwaukee UPBA100",MILWAUKEE VALVE  COMPANY,MVCOUPBA100/UP85011/4,1/4 IP BALL VLV LF-DOMESTIC
"2"" Milwaukee UPBA450",MILWAUKEE VALVE COMPANY,MILWVLVUPBA4502,2IN SWEAT DOMESTIC LF BRZ 2PC
"2"" CU Sweat Coupling w/ Stop",ELKHART PRODUCTS CORP,EPC10030916MUELW10150,2 CXC CPLG
"1 1/4""x3/4"" Brass 125# Bushing",ASC ENGINEERED SOLUTIONS,SCI4385003110LEG310486NL,1 1/4 X 3/4 BRASS BUSHING
"3/4""x3"" Brass Nipple",ASC ENGINEERED SOLUTIONS,SCI4385011640,3/4 X 3 BRASS NIPPLE
"3/4"" Milwaukee UPBA100H",MILWAUKEE VALVE COMPANY,MILWUPBA100H3/4,MILW UPBA100H-3/4 IPS X MHT
"1/2"" Brass 125# Sq. Head Plug",ASC ENGINEERED SOLUTIONS,SCI4385006410LEG310183NL,1/2 BRASS PLUG
"1/4"" Brass 125# 90",ASC ENGINEERED SOLUTIONS,SCI4385001830,1/4 BRASS 90
Silvabrite 100,LUCAS MILHAUPT WARWICK,SILVERBEARING1/8IN1#,SILVABRITE 100 SOLDER
250ml Everflux,EVERFLUX,8OZEVERFLUX250ML,EVERFLUX-LARGE
"5"" 701 Strut Clamp - Gold",,*00496094483,701 5 OD PIPE CLAMP GOLD
"4"" 701 Strut Clamp - Gold",,*00496094484,701 4 OD PIPE CLAMP GOLD
"2"" Rigid Strut Clamp - Gold",RIGID,*00496094485,702 2 RIGID PIPE CLAMP GOLD
"3"" Rigid Strut Clamp - Gold",RIGID,*00496094486,702 3 RIGID PIPE CLAMP GOLD
AB213 Gold,,*00496094487,AB213 4-7 HOLE GUSSET ANGLE
"3/8"" Hex Nut - Plated",FASTENERS,56467294,3/8  ZINC PLTD FLAT WASHER
"3/8"" Hex Nut - Plated",FASTENERS,56457004,3/8-16  STD HEX NUTS Z/P
"3/8"" Cut Washer - Plated",FASTENERS,56467294,3/8  ZINC PLTD FLAT WASHER
"3/8"" Cut Washer - Plated",FASTENERS,56457004,3/8-16  STD HEX NUTS Z/P
"3/8"" Strut Nut - Plated",ASC,0500ASNS38,ASNS    3/8 EG STRUT NUT
"5/8"" O.D. Brass Compression Cap",MIDLAND INDUSTRIES,MIDLAND70008110OLD#18050LF,5/8 COMPRESSION CAP
"3"" ABS Sq. Head Clean Out Plug",CHARLOTTE PIPE & FOUNDRY,CNPLS103053SCS=30CHAR,ABS-MALE PLUG-3IN
"3 1/8"" O.D. Cush A Clamp - Gold",EMPIRE INDUSTRIES INC,PHDS2512GGERICOCCC0312,3 1/8OD STRUT CLAMP W/CUSH
Caddy Pipe Sleeve Positioning Clip #CDY740,ERICO INC,740,CDY 740 5/16 PIPE SLEEVE
"4"" NHCI San Tee",AB&I FOUNDRY,AB&I00822,4 NO HUB SAN TEE
"6"" NHCI Wye",AB&I FOUNDRY,AB&I01342,6 NO HUB WYE
"6"" NHCI Blind Plug",AB&I FOUNDRY,AB&I02490,6 NO HUB BLIND PLUG
"2"" NHCI Pipe",AB&I FOUNDRY,***640FT/LIFT***AB&I00158,2X10 NO HUB PIPE
"2"" Husky HD2000",ANACO,ANACO2006(75/BOX),2 HD2000 WHT HD NH CPLG
"4"" NHCI Wye",AB&I FOUNDRY,AB&I01324,4 NO HUB WYE
"4""x2"" NHCI Short Reducer",AB&I FOUNDRY,SHORTPATTERNAB&I02142,4X2 NO HUB REDUCER
"2"" Fernco 1056 Coupling",FERNCO INC,FERN105622MISMR5622,2 FLEXIBLE CPLG
"2"" CU SWT 90",NIBCO,C9K,2 WROT CXC 90 ELL 2-1/8 OD
"6"" x 4"" CU Reducer",NIBCO,CRCUP,6X4 WROT CXC RED COUP
"1-1/2"" x 1/2"" BLK Thd Bushing",IMPORTED,IBBJD,1-1/2X1/2 BLK MI BUSH
"6"" CTS BF006 Flange",CTS FLANGE,0414BF006,BF006 6    150LB CTS FLANGE
"6"" CS 150# RF Blind Flange w/ 1/2"" NPT Tap at Center",,,"6"" 150# A105 RF BLIND W/ 1/2"" "
"6"" 150# Bolt Kit - Plated",FASTENERS,463581009,6     150 PLATED BOLT KIT
"6""x1/8"" 150# Full Face Red Rubber Gasket",GASKETS,170218060,"6""     150# 1/8 F/F R/R GASKET"
"3"" Sch. 40 DWV PVC Pipe",ATKORE,0609PVC4030B,PVC 4030B 3X20 S40 BE PIPE
"3"" Fernco 1056 Coupling",FERNCO,0171105633RC,1056-33RC 3 PLXPL REPAIR CPLG
Qt. Clear PVC Cement,OATEY,176231020,31020 32OZ PVC MED CLR CEMENT
Qt. Clear PVC Primer,OATEY,176230753,30753 32OZ NSF CLR PRIMER
"6 1/8"" O.D. Cush A Clamp - Gold",,*00496095176,A7167-6-1/8 OD GOLD CUSH CLMP
"2 1/8"" O.D. Cush A Clamp - Gold",,*00496095177,A7167-2-1/8 OD GOLD CUSH CLMP
S-250-24 - Gold,,*00496095178,S250-24 STRUT 2 HOLE BRKT YZ
"4"" CU Caps",NIBCO,CCAPP,4 WROT COP CAP 4-1/8 OD
"ANTHONY 021-84LFW-16S 62"" DUAL CYLINDER CART, HEAVY DUTY FRAME",ANTHONY,02184LFW16S,"021-84LFW-16S (ANTHONY 021-84LFW-16S  62"" DUAL CYLINDER CART, HEAVY-DUTY FRAME)"
HARRIS 0-15 PSI 25GX CLAMSHELLED ACETYLENE REGULATOR,HARRIS,HAR3000681,HAR3000681 (HARRIS - 0-145 PSI 25GX CLAMSHELLED OXYGEN REGULATOR)
HARRIS 0-15 PSI 25GX CLAMSHELLED ACETYLENE REGULATOR,HARRIS,HAR3000682,HAR3000682 (HARRIS - 0-15 PSI 25GX CLAMSHELLED ACETYLENE REGULATOR)
HARRIS - 0-145 PSI 25GX CLAMSHELLED OXYGEN REGULATOR,HARRIS,HAR3000681,HAR3000681 (HARRIS - 0-145 PSI 25GX CLAMSHELLED OXYGEN REGULATOR)
HARRIS - 0-145 PSI 25GX CLAMSHELLED OXYGEN REGULATOR,HARRIS,HAR3000682,HAR3000682 (HARRIS - 0-15 PSI 25GX CLAMSHELLED ACETYLENE REGULATOR)
"50' NOXY/ACT HOSE 1/4""",,HOSRH2103,"HOS-RH2103 (50' OXY/ACT HOSE 1/4"")"
"WESTERN 30 COUPLER, BRASS, 200PSI, OXYGEN, RH, MALE, B-SIZE",WESTERN,WES30,"WES30 (WESTERN 30 COUPLER, BRASS, 200PSI, OXYGEN, RH, MALE, B-SIZE)"
"WESTERN 30 COUPLER, BRASS, 200PSI, OXYGEN, RH, MALE, B-SIZE",WESTERN,WES31,"WES31 (WESTERN 31  COUPLER, BRASS, 200PSI, FUEL GAS, LH, MALE, B-SIZE)"
"WESTERN 31 COUPLER, BRASS, 200PSI, FUEL GAS, LH, MALE, B-SIZE",WESTERN,WES30,"WES30 (WESTERN 30 COUPLER, BRASS, 200PSI, OXYGEN, RH, MALE, B-SIZE)"
"WESTERN 31 COUPLER, BRASS, 200PSI, FUEL GAS, LH, MALE, B-SIZE",WESTERN,WES31,"WES31 (WESTERN 31  COUPLER, BRASS, 200PSI, FUEL GAS, LH, MALE, B-SIZE)"
"VICTOR VIC0323-0251 PROFESSIONAL HEATING NOZZLE, 315 SERIES HANDLE, 6-MFA",VICTOR,VIC03230251,"VIC0323-0251 (VICTOR VIC0323-0251  PROFESSIONAL HEATING NOZZLE, 315 SERIES HANDLE, 6-MFA)"
"VICTOR VIC0323-0251 PROFESSIONAL HEATING NOZZLE, 315 SERIES HANDLE, 6-MFA",VICTOR,VIC03230261,"VIC0323-0261 (VICTOR - 0323-0261 -#12 ROSEBUD, HEATING NOZZLE FOR 315 SERIES HANDLE, 6-MFA)"
"VICTOR VIC0323-0251 PROFESSIONAL HEATING NOZZLE, 315 SERIES HANDLE, 6-MFA",VICTOR,VIC03230260,"VIC0323-0260 (VICTOR - 0323-0260 - #10 ROSEBUD, HEATING NOZZLE FOR 315 SERIES HANDLE, 6-MFA)"
"VICTOR-0323-0260 -#10 ROSEBUD, HEATING NOZZLE FOR 315 SERIES HANDLE, 6-MFA",VICTOR,VIC03230251,"VIC0323-0251 (VICTOR VIC0323-0251  PROFESSIONAL HEATING NOZZLE, 315 SERIES HANDLE, 6-MFA)"
"VICTOR-0323-0260 -#10 ROSEBUD, HEATING NOZZLE FOR 315 SERIES HANDLE, 6-MFA",VICTOR,VIC03230261,"VIC0323-0261 (VICTOR - 0323-0261 -#12 ROSEBUD, HEATING NOZZLE FOR 315 SERIES HANDLE, 6-MFA)"
"VICTOR-0323-0260 -#10 ROSEBUD, HEATING NOZZLE FOR 315 SERIES HANDLE, 6-MFA",VICTOR,VIC03230260,"VIC0323-0260 (VICTOR - 0323-0260 - #10 ROSEBUD, HEATING NOZZLE FOR 315 SERIES HANDLE, 6-MFA)"
"VICTOR - 0323-0261-#12 ROSE BUD, HEATING NOZZLE FOR 315 SERIES HANDLE, 6-MFA",VICTOR,VIC03230251,"VIC0323-0251 (VICTOR VIC0323-0251  PROFESSIONAL HEATING NOZZLE, 315 SERIES HANDLE, 6-MFA)"
"VICTOR - 0323-0261-#12 ROSE BUD, HEATING NOZZLE FOR 315 SERIES HANDLE, 6-MFA",VICTOR,VIC03230261,"VIC0323-0261 (VICTOR - 0323-0261 -#12 ROSEBUD, HEATING NOZZLE FOR 315 SERIES HANDLE, 6-MFA)"
"VICTOR - 0323-0261-#12 ROSE BUD, HEATING NOZZLE FOR 315 SERIES HANDLE, 6-MFA",VICTOR,VIC03230260,"VIC0323-0260 (VICTOR - 0323-0260 - #10 ROSEBUD, HEATING NOZZLE FOR 315 SERIES HANDLE, 6-MFA)"
"RUSTOLEUM 1661838 INDUSTRIAL CHOICE PRECISION LINE MARKING PAINT, PINK, 17OZ 12/CA (SR-11)",RUSTOLEUM,1661838,"1661838 (RUSTOLEUM 1661838 INDUSTRIAL CHOICE PRECISION LINE MARKING PAINT, PINK, 17OZ, 12/CA  (S..."
SELLSTROM KNEE PAD ULTRA FLEX HARD PLASTIC,SELLSTROM,96110,96110 (SELLSTROM KNEE PAD ULTRA FLEX HARD PLASTIC)
SUNEX 218D 1/2-INCH DRIVE 9/16-INCH DEEP IMPACT SOCKET,SUNEX,818D,818D (SUNEX 818D 1/4-INCH DRIVE 9/16-INCH DEEP IMPACT SOCKET)
"DIABLO DSA0250 1/4"" SWQUARE X 1/4"" HEX SOCKET ADAPTER",DIABLO,DSA0250,"DSA0250 (DIABLO DSA0250  1/4"" SQUARE X 1/4"" HEX SOCKET ADAPTER)"
"DIABLO DSA0375 3/8"" SWUARE X 1/4"" HEX SOCKET ADAPTER",DIABLO,DSA0375,"DSA0375 (DIABLO DSA0375  3/8"" SQUARE X 1/4"" HEX SOCKET ADAPTER)"
"MILWAUKEE 48-32-4533 12"" LOCKING BIT HOLDER",MILWAUKEE TOOL,48324533,"48-32-4533 (MILWAUKEE 48-32-4533 12"" LOCKING BIT HOLDER)"
"6"" NHCI Pipe",AB&I FOUNDRY,***210FT/LIFT***AB&I00168,6X10 NO HUB PIPE
"6"" Husky HD2000 Coupling",ANACO,ANACO2014(15/BOX),6 HD2000 WHT HD NH CPLG
"6"" NHCI Short Sweep 1/4 Bend",AB&I FOUNDRY,NHCODE1/4BENDAB&I00472,6 NO HUB SHORT SWEEP CODE
"6"" NHCI 1/8 Bend",AB&I FOUNDRY,AB&I00614,6 NO HUB 45
"6"" NHCI 1/16 Bend - Line 1-5: Misc. NHCI",AB&I FOUNDRY,AB&I00686,6 NO HUB 22
"8"" NHCI Pipe",AB&I FOUNDRY,***150FT/LIFT***AB&I00170,8X10 NO HUB PIPE
